videoId,title,description,publishedAt,URL,summary,year,question_number,hashtag
tBSax8FsJSo,お茶の水大学数学科R7編入試験問題1(2) 解答解説,お茶の水大学数学科R6編入試験問題 1(2) の解答解説です。同次関数と呼ばれる関数の性質の証明(1)は簡単(2)は2変数関数の合成関数の微分の計算ですが、何を計算するのかに気づけるかがポイント。#お茶の水大学#編入 #編入試験#過去問 過去問 #数学科#数学 #同次関数#2変数関数　#合成関数の微分,2025/05/12,https://studio.youtube.com/video/tBSax8FsJSo/edit,ある関数の性質を証明。2変数関数の微分計算で、何を求めるか気づくのが重要。,R7,問題1(2),"['お茶の水大学', '同次関数', '2変数関数', '合成関数の微分']"
hHgSTeX17d4,【編入試験】電気通信大学 2022-3,https://d3vof9ny70a3rq.cloudfront.net/admission/ie/special-transfer/pdf/R4hennyu.pdf,2025/05/12,https://studio.youtube.com/video/hHgSTeX17d4/edit,与えられた線形代数の問題を解き、固有値や固有ベクトルを求めます。,R4,問題3,[]
HIHGEC-EdaI,【編入試験】お茶の水大学数学科 2025-1,https://www.ao.ocha.ac.jp/past_test/body/d009462_d/fil/hennyuuri2025.pdf,2025/05/11,https://studio.youtube.com/video/HIHGEC-EdaI/edit,行列の固有値・固有ベクトルを求め、線形変換を分析する問題。,R7,問題1,[]
xi2uWenVuZ4,神戸大学海洋政策科学部2025編入試験数学問題3解答解説,神戸大学海洋政策科学部H31編入試験の問題から数学の1番の解答解説です。(1) tAx=0 (Aの転置が係数行列）を解く。(2) Ax=b を解く(3) (2) の方程式が解を持つ条件と(1)の関係の証明どうして(3)のような関係になるかの解説もつけました。#神戸大学 神戸大学#海洋政策科学部#編入 編入#数学 数学#連立一次方程式#係数行列#拡大係数行列#解を持つ条件,2025/05/11,https://studio.youtube.com/video/xi2uWenVuZ4/edit,連立一次方程式の解法と、解を持つための条件について解説。,R7,問題3,"['海洋政策科学部', '連立一次方程式', '係数行列', '拡大係数行列', '解を持つ条件']"
KtmiPkZknC0,広島大学情報学部R7編入試験問題4解答解説,広島大学情報学部R7年度編入試験問題から問題4の解答解説です。確率の問題(1) -(3)は設定の中で箱の中から赤い玉をx個取り出す確率を求めます。(4)は赤い玉を取り出す個数の期待値。二項係数(nCk)の公式を使います。最後に使った公式の証明をつけました。(4)が一番大変。(5)は試行の結果から二乗誤差が最小になるように玉の数を決める問題。(4)の結果が使えます。計算は1変数関数の微積なので難しくない。#数学 #過去問 #編入 #編入試験 #広島大学 広島大学　#情報科学部#組み合わせ #場合の数 #平均 #期待値 #二乗誤差#最小二乗誤差,2025/05/11,https://studio.youtube.com/video/KtmiPkZknC0/edit,箱から玉を取り出す確率、個数の期待値、二乗誤差最小化を解説。,R7,問題4,"['情報科学部', '組み合わせ', '場合の数', '平均', '期待値', '二乗誤差', '最小二乗誤差']"
3tImVN6Cocc,ラ カンパネラ練習50日目,,2025/05/08,https://studio.youtube.com/video/3tImVN6Cocc/edit,漸化式で表された数列の、一般項を求める方法を解説。,不明,不明,[]
32Hg7myI1bs,電気通信大学2022編入試験数学問題1解答解説,電気通信大学情報理工学域2022年度編入試験問題から数学の1番の解答解説です。(1) 4次元数ベクトル空間の線形変換fの核空間の基底と次元。(2) 別な線形変換gの像空間の基底と次元。(3) Ker f と Im g の共通部分の基底を求める 像空間の基底が列基本変形になることの説明は↓の(4) を参考にしてくださいhttps://www.youtube.com/watch?v=4n9JLf0bqRo#電通大 #電気通信大学#編入 #編入試験 #過去問#線形変換#核 #像 #基底 基底#Kernel #image,2025/05/06,https://studio.youtube.com/video/32Hg7myI1bs/edit,4次元空間における二つの写像について、核と像、そしてそれらの共通部分を求めます。,R4,問題1,"['線形変換', '核', '像', '基底', 'Kernel', 'image']"
GG36UN8ohIg,岡山大学数学科2025年編入試験問題3解答解説,岡山大学数学科2025年編入試験問題から3番の解答解説です。tanh xの性質の計算色々です。特に tanh の性質の知識は不要。(4)のテイラー展開で、n回微分を求めるのに、(3)の結果が利用できます。(4)は２種類解答を書いてみました。#岡山大学 岡山大学#編入試験 　#編入 #数学 #tanh x#テイラー展開#マクローリン展開,2025/05/06,https://studio.youtube.com/video/GG36UN8ohIg/edit,双曲線関数の微分と展開。高階微分を利用した級数展開を解説。,R7,問題3,"['tanh', 'テイラー展開', 'マクローリン展開']"
YEiUOVMwviM,神戸大学海洋政策科学部2025編入試験数学問題2解答・解説,神戸大学海洋政策科学部H31編入試験の問題から数学の2番の解答解説です。(1)不定積分(2)(3)重積分。(1)を利用します。(3)は直接やる方法と、極座標変換と２種類解答を出しましたが、直接やる方が少し楽です。#神戸大学 神戸大学#工学部 工学部#編入 編入#数学 数学#不定積分 不定積分#重積分 重積分#極座標変換 #極座標,2025/05/04,https://studio.youtube.com/video/YEiUOVMwviM/edit,**複数の積分計算問題について、解法を丁寧に解説しています。**,R7,問題2,"['不定積分', '重積分', '極座標変換', '極座標']"
vClP42Puw5I,神戸大学海洋政策科学部2025編入試験数学問題1解答・解説,神戸大学海洋政策科学部H31編入試験の問題から数学の1番を解答解説です。二変数関数の極限3題。極座標への変換と、挟み撃ちです。基本問題。#神戸大学 神戸大学#工学部 工学部#編入 編入#数学 数学#2変数関数の極限#挟み撃ち#極座標変換 #極座標,2025/05/04,https://studio.youtube.com/video/vClP42Puw5I/edit,二変数関数で、極限を求める問題の解法を解説します。,R7,問題1,"['2変数関数の極限', '挟み撃ち', '極座標変換', '極座標']"
